slide,model,lambda,fold,dice,iou,entropy
test_010,max,0.0,9,0.0,0.0,0.9999877886189363
test_010,abmil,0.0,0,0.003698427483425566,0.0018526396684461156,0.9533271541093975
test_010,abmil,0.0,1,0.00183551586214454,0.0009186009844112042,0.8571717761680093
test_010,abmil,0.0,2,0.0027943674319215388,0.0013991385695865683,0.14472391762689202
test_010,abmil,0.0,3,0.0027943674319215388,0.0013991385695865683,0.41416823327277663
test_010,abmil,0.0,4,0.003698427483425566,0.0018526396684461156,0.9350208833378225
test_010,abmil,0.0,5,0.003698427483425566,0.0018526396684461156,0.19324247365837066
test_010,abmil,0.0,6,0.003698427483425566,0.0018526396684461156,0.912633516140451
test_010,abmil,0.0,7,0.003698427483425566,0.0018526396684461156,0.968010911887714
test_010,abmil,0.0,8,0.003698427483425566,0.0018526396684461156,0.9827970876537473
test_010,abmil,0.0,9,0.003698427483425566,0.0018526396684461156,0.06285498102293734
test_010,transmil,0.0,0,0.0,0.0,0.9999747183273833
test_010,transmil,0.0,1,0.0018081201030080544,0.0009048781156598755,0.9995822011341797
test_010,transmil,0.0,2,0.0,0.0,0.9999721655360643
test_010,transmil,0.0,3,0.00468467481233905,0.002347836832205182,0.9999685916282177
test_010,transmil,0.0,4,0.0028192916187660807,0.0014116357157541288,0.9998806734951927
test_010,transmil,0.0,5,0.001806536377073411,0.0009040848195939837,0.999863212402571
test_010,transmil,0.0,6,0.0,0.0,0.9983797343112963
test_010,transmil,0.0,7,0.0,0.0,0.9995900637314422
test_010,transmil,0.0,8,0.003698427483425566,0.0018526396684461156,0.9997858117697801
test_010,transmil,0.0,9,0.0,0.0,0.9998113396829698
test_010,clam,0.0,0,0.0037258232425620512,0.0018663885381786244,0.3017138443739126
test_010,clam,0.0,1,0.004712070571475536,0.002361599297012302,0.9474822831055043
test_010,clam,0.0,2,0.0027943674319215388,0.0013991385695865683,0.4370385885876957
test_010,clam,0.0,3,0.0027943674319215388,0.0013991385695865683,0.0953873834370353
test_010,clam,0.0,4,0.004629883294066078,0.0023203130363149585,0.9662310036684817
test_010,clam,0.0,5,0.004629883294066078,0.0023203130363149585,0.4770414412257314
test_010,clam,0.0,6,0.003753219001698537,0.0018801377852800307,0.3750376694284299
test_010,clam,0.0,7,0.003698427483425566,0.0018526396684461156,0.8749228658835367
test_010,clam,0.0,8,0.003698427483425566,0.0018526396684461156,0.9771244790080577
test_010,clam,0.0,9,0.003698427483425566,0.0018526396684461156,0.6396709945546006
test_010,clam,0.05,0,0.002766971672785053,0.0013854025211582513,0.9565115060006695
test_010,clam,0.05,1,0.004629883294066078,0.0023203130363149585,0.9768768582501184
test_010,clam,0.05,2,0.0037258232425620512,0.0018663885381786244,0.995689296484417
test_010,clam,0.05,3,0.0037258232425620512,0.0018663885381786244,0.9346570595190442
test_010,clam,0.05,4,0.001917703139553997,0.0009597718485205803,0.9773025617304684
test_010,clam,0.05,5,0.004629883294066078,0.0023203130363149585,0.9941689560864966
test_010,clam,0.05,6,0.003753219001698537,0.0018801377852800307,0.9781559088125706
test_010,clam,0.05,7,0.003698427483425566,0.0018526396684461156,0.986905652114136
test_010,clam,0.05,8,0.001917703139553997,0.0009597718485205803,0.93489048675725
test_010,clam,0.05,9,0.0037258232425620512,0.0018663885381786244,0.9324629864362236
test_011,mean,0.0,0,0.0,0.0,0.9999952909646159
test_011,mean,0.0,1,0.0,0.0,0.9999952909646159
test_011,mean,0.0,2,0.0,0.0,0.9999952909646159
test_011,mean,0.0,3,0.0,0.0,0.9999952909646159
test_011,mean,0.0,4,0.0,0.0,0.9999952909646159
test_011,mean,0.0,5,0.0,0.0,0.9999952909646159
test_011,mean,0.0,6,0.0,0.0,0.9999952909646159
test_011,mean,0.0,7,0.0,0.0,0.9999952909646159
test_011,mean,0.0,8,0.0,0.0,0.9999952909646159
test_011,mean,0.0,9,0.0,0.0,0.9999952909646159
test_011,max,0.0,0,0.0,0.0,0.9999952909646159
test_011,max,0.0,1,0.0,0.0,0.9999952909646159
test_011,max,0.0,2,0.0,0.0,0.9999952909646159
test_011,max,0.0,3,0.0,0.0,0.9999952909646159
test_011,max,0.0,4,0.0,0.0,0.9999952909646159
test_011,max,0.0,5,0.0,0.0,0.9999952909646159
test_011,max,0.0,6,0.0,0.0,0.9999952909646159
test_011,max,0.0,7,0.0,0.0,0.9999952909646159
test_011,max,0.0,8,0.0,0.0,0.9999952909646159
test_011,max,0.0,9,0.0,0.0,0.9999952909646159
test_011,abmil,0.0,0,0.0,0.0,0.6418495152363196
test_011,abmil,0.0,1,0.0,0.0,0.5344864550351355
