slide,fold,lambda,dice,iou,entropy
test_008,1,0.1,0.024440399933817098,0.012371380713089256,0.9541132052232966
test_008,1,0.15,0.025149502446403668,0.012734889287851586,0.9729181746792592
test_008,1,0.2,0.018578485829768124,0.009376342033688027,0.9996534217156665
test_008,2,0.0,0.023778570922069635,0.01203234140273658,0.1662137024003573
test_008,2,0.01,0.024818587940529935,0.01256521947250012,0.48320256773649284
test_008,2,0.02,0.025244049448081878,0.012783376822349365,0.7916277381496882
test_008,2,0.05,0.024629493937173518,0.012468290815105539,0.9381219634332394
test_008,2,0.1,0.02212399839270097,0.011185735796744664,0.9869334737445123
test_008,2,0.15,0.02425130593046068,0.012274489161123607,0.9854610493290966
test_008,2,0.2,0.025764057957312028,0.013050141276758775,0.970785473179817
test_008,3,0.0,0.024913134942208145,0.012613690761129727,0.32461814542882644
test_008,3,0.01,0.020469425863332308,0.010340545445861394,0.24448130539570614
test_008,3,0.02,0.023684023920391425,0.011983925752284361,0.8329515455498692
test_008,3,0.05,0.026284066466542178,0.013317046298292256,0.7885920713454698
test_008,3,0.1,0.02590587845982934,0.013122919610143922,0.9229764368618638
test_008,3,0.15,0.026284066466542178,0.013317046298292256,0.9172841270681965
test_008,3,0.2,0.025953151960668448,0.013147181378418507,0.9648385254320597
test_008,4,0.0,0.015032973266835276,0.0075734120841172686,0.8042462220213885
test_008,4,0.01,0.02098943437256246,0.010606024412966104,0.5056979407497881
test_008,4,0.02,0.023684023920391425,0.011983925752284361,0.6860008404527149
test_008,4,0.05,0.026473160469898598,0.013414137542817449,0.7298849325380453
test_008,4,0.1,0.026284066466542178,0.013317046298292256,0.9472066938883056
test_008,4,0.15,0.02590587845982934,0.013122919610143922,0.9576491313187198
test_008,4,0.2,0.025716784456472925,0.013025884155831717,0.985623348434647
test_008,5,0.0,0.01181837520977616,0.005944313669543714,0.5444089932720612
test_008,5,0.01,0.009596520670338242,0.004821394641839255,0.8555366501971569
test_008,5,0.02,0.023684023920391425,0.011983925752284361,0.8784336972015986
test_008,5,0.05,0.026378613468220388,0.013365589594960358,0.9139119123195367
test_008,5,0.1,0.023684023920391425,0.011983925752284361,0.9852052164016727
test_008,5,0.15,0.025149502446403668,0.012734889287851586,0.9867852970510914
test_008,5,0.2,0.024629493937173518,0.012468290815105539,0.9621208301686354
test_008,6,0.0,0.01999669085494126,0.010099321936777768,0.2533496098848869
test_008,6,0.01,0.01999669085494126,0.010099321936777768,0.38448283317814724
test_008,6,0.02,0.02538586995059919,0.012856116830260953,0.5203700949299749
test_008,6,0.05,0.02425130593046068,0.012274489161123607,0.938746934486942
test_008,6,0.1,0.024629493937173518,0.012468290815105539,0.9527159554939859
test_008,6,0.15,0.02425130593046068,0.012274489161123607,0.9657115077695454
test_008,6,0.2,0.02425130593046068,0.012274489161123607,0.9702987931310445
test_008,7,0.0,0.012196563216488997,0.006135698827558325,0.6007524205077857
test_008,7,0.01,0.02425130593046068,0.012274489161123607,0.8008781353624281
test_008,7,0.02,0.022785827404448438,0.011524208009563658,0.8124758947389796
test_008,7,0.05,0.02538586995059919,0.012856116830260953,0.8908935755216899
test_008,7,0.1,0.02538586995059919,0.012856116830260953,0.9711166980612248
test_008,7,0.15,0.024629493937173518,0.012468290815105539,0.9816768946820116
