slide,fold,lambda,dice,iou,entropy
test_011,7,0.05,0.0,0.0,0.8869117688444788
test_011,7,0.1,0.0,0.0,0.9611834536023888
test_011,8,0.0,0.0,0.0,0.7611642661009487
test_011,8,0.05,0.0,0.0,0.9874911945631573
test_011,8,0.1,0.0007026035364378001,0.0003514252245216712,0.9950715470767618
test_011,9,0.0,0.0,0.0,0.5684003715367203
test_011,9,0.05,0.0,0.0,0.8857519180877349
test_011,9,0.1,0.0,0.0,0.9905786854157895
test_013,0,0.0,0.010771071978115917,0.0054146970348087665,0.34686638857062974
test_013,0,0.05,0.017780817233715166,0.00897015697774711,0.9666466096703332
test_013,0,0.1,0.006496837066165157,0.0032590051457975985,0.9931778539639455
test_013,1,0.0,0.006838775859121217,0.0034311202607651397,0.9962993751105162
test_013,1,0.05,0.012651735339374252,0.006366139022711631,0.8706000008588409
test_013,1,0.1,0.008719439220379552,0.004378809993989869,0.999219087202337
test_013,2,0.0,0.018293725423149255,0.009231300146665516,0.5067542392396175
test_013,2,0.05,0.017267909044281073,0.008709148917823576,0.9658240453762645
test_013,2,0.1,0.008206531030945461,0.004120171673819743,0.993217159982173
test_013,3,0.0,0.018293725423149255,0.009231300146665516,0.19523455078359692
test_013,3,0.05,0.018293725423149255,0.009231300146665516,0.6840313776618516
test_013,3,0.1,0.008206531030945461,0.004120171673819743,0.9680557113431927
test_013,4,0.0,0.010771071978115917,0.0054146970348087665,0.37644470790347434
test_013,4,0.05,0.017780817233715166,0.00897015697774711,0.973850614146965
test_013,4,0.1,0.008377500427423492,0.00420636964546313,0.9921520813717597
test_013,5,0.0,0.016413062061890922,0.008274435442165143,0.25945230041035033
test_013,5,0.05,0.01590015387245683,0.008013787160706592,0.9699839323053269
test_013,5,0.1,0.01196785775346213,0.006019951840385277,0.9914060302490948
test_013,6,0.0,0.01196785775346213,0.006019951840385277,0.7762224985786442
test_013,6,0.05,0.017096939647803042,0.00862217623728229,0.8846641139536009
test_013,6,0.1,0.01196785775346213,0.006019951840385277,0.9581399096187292
test_013,7,0.0,0.018293725423149255,0.009231300146665516,0.7042465009973661
test_013,7,0.05,0.012993674132330314,0.006539321975563586,0.794641375042351
test_013,7,0.1,0.018293725423149255,0.009231300146665516,0.9542484230083067
